Age,time,City,Your city,Employment status,Position,Your position,Total years of experience,Years of experience in Germany,Seniority level,Your seniority level,Main technology / programming language,Your main technology,Other technologies/programming languages you use often,Years in the current workplace,Company size,Annual gross salary without bonus and stocks in EUR,Annual Brutto salary with bonus and stocks in EUR,Annual TC one year ago.,Number of vacation days,Hourly rate in EUR,Working hours for the last year,Number of days off in the last year,"Third-party income from small customers or own projects (annualy, in EUR)",Working hours per week,layoffs_impact_you,company_layoffs,Did you already find a new job?,Do you currently search for a job?,company_hire_in_2024,company_industry,change_jobs,tc_new_job,unemployed_last_tc_salary,change_jobs_voluntary,how_long_find_job,ai_impact,ai_use,ai_tool
37,12/12/2024 20:15,Berlin,,Full/Part-time employee,Technical Program / Project Manager,,15,2,Senior Staff / Director,,Other,Cybersecurity,Cloud (AWS / Azure / GCP),2.00,1000,140000,160000,122000,30,,,,,40,No,"Yes, both in 2023-2024",,,Yes,"Information Services, IT, Software Development, or other Technology",No,,,,,Great,Yes,"OpenAI ChatGPT,Microsoft Copilot,Google Gemini,Other"
37,12/12/2024 21:14,Munich,,Full/Part-time employee,Technical Program / Project Manager,,15,8,Mid-level,,Java / Scala / Kotlin,,JavaScript / TypeScript,3.00,1000,86000,97000,88000,36,,,,,40,,"Yes, in 2023",,,Yes,"Information Services, IT, Software Development, or other Technology",No,,,,,Great,Yes,Other
42,12/12/2024 21:20,Berlin,,Full/Part-time employee,Software Engineer,,5,5,Mid-level,,C / C++,,"C# / .NET core,Java / Scala / Kotlin,JavaScript / TypeScript,Python,.NET,SQL,PHP",5.00,101-1000,70000,70000,70000,30,,,,,40,,"Yes, in 2023",,,Yes,Healthcare,No,,,,,Great,No,
36,12/12/2024 21:40,Hamburg,,Full/Part-time employee,Software Engineer,,16,11,Senior,,Java / Scala / Kotlin,,"JavaScript / TypeScript,SQL,Cloud (AWS / Azure / GCP),Kubernetes,Docker",6.00,101-1000,84900,88200,84000,28,,,,,40,No,"Yes, in 2024",,,"Yes, but only for backfilling","Information Services, IT, Software Development, or other Technology",No,,,,,Moderate but noticeable,Yes,"OpenAI ChatGPT,Microsoft Copilot"
44,12/12/2024 21:49,Berlin,,Full/Part-time employee,Software Engineer,,20,8,Staff / Lead / Manager,,C / C++,,"Cloud (AWS / Azure / GCP),Python",2.00,101-1000,150000,150000,150000,25,,,,,40,,No,,,Yes,"Information Services, IT, Software Development, or other Technology",No,,,,,Moderate but noticeable,Yes,"OpenAI ChatGPT,Microsoft Copilot"
42,12/12/2024 22:41,Berlin,,Self-employed (freelancer),Software Engineer,,25,11,Senior,,Other,Haskell,Other,3.00,101-1000,,,,,16.0,1920.0,22.0,140000,40,,No,,,Yes,"Information Services, IT, Software Development, or other Technology",No,,,,,Invisible,Yes,"Microsoft Copilot,Anthropic Claude,Google Gemini,OpenAI ChatGPT"
46,12/12/2024 23:11,Berlin,,Full/Part-time employee,Site Reliability Engineer,,25,1,Senior,,Cloud (AWS / Azure / GCP),,"Python,Go,Terraform,Cloud (AWS / Azure / GCP),Kubernetes,Bash / Zsh / PowerShell,Docker",1.00,51-100,72000,80000,,30,,,,,40,,No,,,"Yes, but only for backfilling","Information Services, IT, Software Development, or other Technology",Yes,better than it was,,"Voluntary, it was my decision",6.0,Invisible,No,
47,12/12/2024 23:17,Berlin,,Full/Part-time employee,DevOps Engineer,,26,1,Senior,,Bash / Zsh / PowerShell,,"Python,Go,Cloud (AWS / Azure / GCP),Terraform,Kubernetes,Docker",0.50,1000,90000,100000,80000,30,,,,,39,,I dont know,,,Yes,Financial Services,Yes,better than it was,,"Voluntary, it was my decision",7.0,Invisible,No,
36,12/13/2024 00:06,Munich,,Full/Part-time employee,DevOps Engineer,,15,11,Senior,,Cloud (AWS / Azure / GCP),,"Python,Java / Scala / Kotlin,SQL,NodeJS,JavaScript / TypeScript,Bash / Zsh / PowerShell,Terraform,Cloud (AWS / Azure / GCP),Kubernetes,Docker",11.00,101-1000,87000,87000,85000,20,,,,,40,No,"Yes, both in 2023-2024",,,Yes,"Information Services, IT, Software Development, or other Technology",No,,,,,Moderate but noticeable,Yes,"OpenAI ChatGPT,Microsoft Copilot"
39,12/13/2024 10:02,Stuttgart,,Full/Part-time employee,Software Engineer,,15,7,Senior,,Python,,,2.50,11-50,108000,144000,108000,25,,,,,40,No,"Yes, both in 2023-2024",,,"Yes, but only for backfilling",Financial Services,No,,,,,Moderate but noticeable,Yes,"OpenAI ChatGPT,Microsoft Copilot"
38,12/13/2024 11:12,Berlin,,Full/Part-time employee,Data Scientist,,15,15,Staff / Lead / Manager,,Python,,"Docker,Other",1.00,101-1000,88000,93000,,,,,,,38,,No,,,Yes,Other,Yes,about the same,,"Voluntary, it was my decision",,Moderate but noticeable,Yes,"Microsoft Copilot,OpenAI ChatGPT"
42,12/13/2024 11:51,Berlin,,Full/Part-time employee,Site Reliability Engineer,,20,5,Senior,,Terraform,,Python,3.00,1000,100000,120000,110000,28,,,,,40,No,"Yes, in 2024",,,Yes,"Information Services, IT, Software Development, or other Technology",No,,,,,Great,Yes,OpenAI ChatGPT
45,12/13/2024 12:04,Munich,,Full/Part-time employee,Data / Business / Product Analyst,,20,17,Staff / Lead / Manager,,Other,,,15.00,1000,90000,97000,,30,,,,,40,,"Yes, in 2024",,,No,"Information Services, IT, Software Development, or other Technology",No,,,,,Moderate but noticeable,Yes,OpenAI ChatGPT
43,12/13/2024 12:09,Berlin,,Full/Part-time employee,Backend Software Engineer,,4,8,Junior,,Ruby,,"Python,JavaScript / TypeScript,Cloud (AWS / Azure / GCP),Docker",3.00,11-50,48000,48000,48000,20 working days,,,,,40,,No,,,No,"Information Services, IT, Software Development, or other Technology",No,,,,,Invisible,Yes,"Microsoft Copilot,OpenAI ChatGPT"
44,12/13/2024 12:35,Munich,,Full/Part-time employee,DevOps Engineer,,20,7,Senior,,Cloud (AWS / Azure / GCP),,"Python,Other,Cloud (AWS / Azure / GCP),Terraform,Bash / Zsh / PowerShell",5.00,1000,80000,80000,80000,30,,,,,40,No,"Yes, in 2024",,,"Yes, but only for backfilling","Information Services, IT, Software Development, or other Technology",No,,,,,Invisible,No,
40,12/13/2024 14:33,Munich,,Full/Part-time employee,Software Engineer,,20,6,Senior,,C / C++,,Python,3.00,1000,115000,400000,250000,30,,,,,40,,No,,,Yes,"Information Services, IT, Software Development, or other Technology",No,,,,,Moderate but noticeable,Yes,"OpenAI ChatGPT,Microsoft Copilot"
27,12/13/2024 15:04,Dusseldorf,,Full/Part-time employee,Frontend Software Engineer,,5,2,Senior,,JavaScript / TypeScript,,,2.00,101-1000,70000,75000,,30,,,,,40,,No,,,Yes,Retail and Consumer Services,No,,,,,,,
35,12/13/2024 20:49,Berlin,,Full/Part-time employee,Backend Software Engineer,,13,1,Senior,,JavaScript / TypeScript,,"Rust,NodeJS",0.50,1000,98000,98000,,30,,,,,40,,I dont know,,,Yes,Other,Yes,worse than it was,,"Voluntary, it was my decision",6.0,Invisible,Yes,"OpenAI ChatGPT,Microsoft Copilot"
36,12/13/2024 23:52,Munich,,Full/Part-time employee,Software Engineer,,12,5,Senior,,C / C++,,"C / C++,.NET,C# / .NET core,Python,SQL,Bash / Zsh / PowerShell",0.25,1000,98000,102000,95000,30,,,,,40,,I dont know,,,Yes,"Information Services, IT, Software Development, or other Technology",Yes,better than it was,,"Involuntarily, I was forced to look for a new job",2.5,Moderate but noticeable,Yes,"OpenAI ChatGPT,Microsoft Copilot"
28,12/14/2024 04:36,Munich,,Full/Part-time employee,DevOps Engineer,,7,3,Senior,,Terraform,,"C# / .NET core,Other",3.00,up to 10,75000,75000,75000,30,,,,,40,No,"Yes, both in 2023-2024",,,No,"Information Services, IT, Software Development, or other Technology",No,,,,,Moderate but noticeable,No,
33,12/14/2024 11:29,Berlin,,Full/Part-time employee,Backend Software Engineer,,14,3,Staff / Lead / Manager,,Java / Scala / Kotlin,,"Python,Go,SQL,Terraform,Cloud (AWS / Azure / GCP),Kubernetes,Docker",3.00,51-100,96000,106000,103000,30,,,,,40,,"Yes, in 2023",,,"Yes, but only for backfilling","Information Services, IT, Software Development, or other Technology",No,,,,,Moderate but noticeable,Yes,"Microsoft Copilot,OpenAI ChatGPT"
38,12/14/2024 11:52,Munich,,Full/Part-time employee,Other,IT Controlling,13,13,Staff / Lead / Manager,,Dashboards (Power BI / Tableau / Looker / etc.),,SAP / ABAP,2.00,1000,118000,135000,134000,34,,,,,40,,No,,,Yes,Financial Services,No,,,,,Great,Yes,"OpenAI ChatGPT,Other"
43,12/14/2024 16:19,Berlin,,Full/Part-time employee,Product Manager,,15,7,Senior,,Non-tech instruments,,Dashboards (Power BI / Tableau / Looker / etc.),0.50,101-1000,85000,85000,,28,,,,,40,,No,,,Yes,Financial Services,Yes,worse than it was,,"Involuntarily, I was forced to look for a new job",9.0,Great,No,
40,12/14/2024 20:19,Berlin,,Full/Part-time employee,Software Engineer,,15,3,Mid-level,,Java / Scala / Kotlin,,"SQL,Bash / Zsh / PowerShell",3.00,1000,75000,75000,,30,,,,,39,,No,,,Yes,Financial Services,No,,,,,Invisible,No,
25,12/15/2024 00:18,Munich,,Full/Part-time employee,Other,,4,2,Mid-level,,C / C++,,Python,4.00,1000,82000,85000,,30,,,,,40,No,"Yes, both in 2023-2024",,,"Yes, but only for backfilling","Information Services, IT, Software Development, or other Technology",Yes,better than it was,,"Voluntary, it was my decision",6.0,Moderate but noticeable,No,
36,12/15/2024 17:09,Munich,,Full/Part-time employee,Software Engineer,,4,1,Mid-level,,Java / Scala / Kotlin,,Java / Scala / Kotlin,1.00,101-1000,70000,9600,0,28,,,,,40,,"Yes, in 2023",,,Yes,"Manufacturing, Transportation, or Supply Chain",No,,,,,Invisible,Yes,"OpenAI ChatGPT,Microsoft Bing"
38,12/15/2024 18:17,Berlin,,Full/Part-time employee,Engineering Manager,,12,7,Senior Staff / Director,,Java / Scala / Kotlin,,"Python,JavaScript / TypeScript,Go,Terraform,Kubernetes,Cloud (AWS / Azure / GCP),Docker,Bash / Zsh / PowerShell",6.00,101-1000,125000,150000,120000,28,,,,,40,,No,,,Yes,Financial Services,No,,,,,Invisible,Yes,"OpenAI ChatGPT,Other"
41,12/15/2024 22:08,Munich,,Full/Part-time employee,Software Engineer,,19,3,Senior,,C / C++,,,3.00,101-1000,86000,86000,86000,30,,,,,40,,No,,,Yes,Other,No,,,,,Invisible,No,
30,12/16/2024 13:16,Berlin,,Full/Part-time employee,Business Intelligence Engineer,,7,0,Mid-level,,Dashboards (Power BI / Tableau / Looker / etc.),,Python,0.25,101-1000,58000,67000,,20,,,,,35,,"Yes, in 2023",,,I dont know,Healthcare,Yes,worse than it was,,"Voluntary, it was my decision",2.0,Moderate but noticeable,No,
34,12/16/2024 15:42,Berlin,,Full/Part-time employee,Research Scientist,,10,2,Senior,,Python,,Other,1.00,1000,120000,150000,,30,,,,,40,"Yes, I am NOT satisfied with a severance package","Yes, both in 2023-2024",Yes,,Yes,"Information Services, IT, Software Development, or other Technology",Yes,better than it was,,"Involuntarily, I was forced to look for a new job",0.0,Great,Yes,"OpenAI ChatGPT,Microsoft Copilot"
35,12/16/2024 17:42,Munich,,Full/Part-time employee,Solution Architect / Data Architect,,14,7,Principal / VP / Head,,Cloud (AWS / Azure / GCP),,"Kubernetes,Terraform,Docker,Bash / Zsh / PowerShell,SQL,Go,Python",4.00,101-1000,115384,128084,122000,30,,,,,40,,I dont know,,,I dont know,"Information Services, IT, Software Development, or other Technology",No,,,,,Moderate but noticeable,Yes,"OpenAI ChatGPT,Microsoft Copilot"
28,12/16/2024 20:07,Berlin,,Full/Part-time employee,Machine Learning Engineer,,6,2,Senior,,Python,,Java / Scala / Kotlin,5.00,1000,120000,130000,109000,30,,,,,40,,No,,,Yes,"Information Services, IT, Software Development, or other Technology",No,,,,,Great,Yes,"OpenAI ChatGPT,JetBrains AI,Other"
39,12/16/2024 22:00,Munich,,Full/Part-time employee,Backend Software Engineer,,17,6,Senior,,Java / Scala / Kotlin,,"Python,SQL,Bash / Zsh / PowerShell,Terraform,Cloud (AWS / Azure / GCP),Docker",3.00,101-1000,73850,85650,80250,30,,,,,40,,No,,,"Yes, but only for backfilling",Other,No,,,,,Invisible,Yes,OpenAI ChatGPT
35,12/16/2024 22:19,Berlin,,Full/Part-time employee,Engineering Manager,,12,10,Staff / Lead / Manager,,JavaScript / TypeScript,,"SQL,Terraform,Python,Dashboards (Power BI / Tableau / Looker / etc.),Other",2.00,51-100,110000,110000,98000,30,,,,,40,,No,,,Yes,Financial Services,No,,,,,Moderate but noticeable,Yes,"OpenAI ChatGPT,Other"
37,12/17/2024 08:39,Berlin,,Full/Part-time employee,Backend Software Engineer,,15,7,Staff / Lead / Manager,,Python,,"Python,Go,SQL,Rust,Cloud (AWS / Azure / GCP),Docker,Other,Terraform,Kubernetes,Java / Scala / Kotlin",3.00,101-1000,155000,175000,150000,,,,,,40,,"Yes, in 2023",,,Yes,"Information Services, IT, Software Development, or other Technology",No,,,,,Moderate but noticeable,Yes,"OpenAI ChatGPT,Anthropic Claude,Microsoft Copilot,Google Gemini"
43,12/17/2024 11:33,Berlin,,Full/Part-time employee,Technical Program / Project Manager,,21,13,Staff / Lead / Manager,,C / C++,,"Python,Bash / Zsh / PowerShell",11.00,11-50,92000,103000,100000,30,,,,,40,,No,,,Yes,"Information Services, IT, Software Development, or other Technology",No,,,,,Invisible,No,
31,12/17/2024 19:24,Berlin,,Full/Part-time employee,Data Scientist,,8,2,Senior,,Python,,"SQL,Bash / Zsh / PowerShell,Cloud (AWS / Azure / GCP),Docker",2.00,1000,102000,119500,115000,27,,,,,40,,"Yes, in 2023",,,Yes,"Information Services, IT, Software Development, or other Technology",No,,,,,Moderate but noticeable,Yes,"OpenAI ChatGPT,Google Gemini"
38,12/17/2024 21:56,Leipzig,,Self-employed (freelancer),Backend Software Engineer,,8,2,Senior,,Java / Scala / Kotlin,,SQL,2.00,11-50,,,,,45.0,1780.0,14.0,0,40,,No,,,No,"Information Services, IT, Software Development, or other Technology",No,,,,,Moderate but noticeable,Yes,"OpenAI ChatGPT,Anthropic Claude,Google Gemini"
41,12/18/2024 00:20,Munich,,Full/Part-time employee,Backend Software Engineer,,19,6,Staff / Lead / Manager,,PHP,,"Go,SQL,Kubernetes,Cloud (AWS / Azure / GCP),Terraform,Docker",3.00,101-1000,90000,90000,87000,28,,,,,40,,No,,,Yes,Retail and Consumer Services,No,,,,,Moderate but noticeable,Yes,JetBrains AI
38,12/18/2024 08:15,Munich,,Full/Part-time employee,Backend Software Engineer,,9,3,Senior,,Java / Scala / Kotlin,,"Kubernetes,Docker,SQL",3.00,1000,80000,84000,,30,,,,,40,No,"Yes, both in 2023-2024",,,"Yes, but only for backfilling",Financial Services,No,,,,,Moderate but noticeable,No,
37,12/18/2024 10:35,Cologne,,Full/Part-time employee,Site Reliability Engineer,,19,8,Staff / Lead / Manager,,PHP,,"PHP,Terraform,Cloud (AWS / Azure / GCP),Kubernetes",2.00,51-100,95000,100000,100000,unlimited,,,,,40,No,"Yes, in 2024",,,Yes,Other,No,,,,,Invisible,No,
38,12/18/2024 10:36,Berlin,,Full/Part-time employee,Developer Advocate,,15,3,Senior,,Java / Scala / Kotlin,,"Python,Bash / Zsh / PowerShell,Docker",0.50,51-100,100000,100000,80000,30,,,,,40,,No,,,Yes,"Information Services, IT, Software Development, or other Technology",No,,,,,Invisible,Yes,"OpenAI ChatGPT,Anthropic Claude,Midjourney,JetBrains AI"
38,12/18/2024 10:46,Other,,Full/Part-time employee,Frontend Software Engineer,,15,6,Senior,,JavaScript / TypeScript,,NodeJS,1.00,101-1000,90000,90000,80000,27,,,,,40,,No,,,I dont know,Other,No,,,,,Invisible,Yes,Microsoft Copilot
42,12/18/2024 10:50,Berlin,,Full/Part-time employee,Engineering Manager,,20,10,Staff / Lead / Manager,,Java / Scala / Kotlin,,"Python,JavaScript / TypeScript,SQL,Kubernetes",10.00,1000,110000,135000,132000,30,,,,,40,,"Yes, in 2023",,,Yes,Wholesale,No,,,,,Invisible,No,
34,12/18/2024 10:53,Berlin,,Full/Part-time employee,Frontend Software Engineer,,8,6,Senior,,JavaScript / TypeScript,,,0.10,51-100,110000,121000,180000,unlimited,,,,,40,,No,,,Yes,"Information Services, IT, Software Development, or other Technology",Yes,worse than it was,,"Involuntarily, I was forced to look for a new job",3.0,Great,Yes,Other
34,12/18/2024 10:58,Berlin,,Full/Part-time employee,Frontend Software Engineer,,1,1,Junior,,JavaScript / TypeScript,,JavaScript / TypeScript,6.00,11-50,65000,65000,65000,28,,,,,40,,No,,,Yes,"Information Services, IT, Software Development, or other Technology",No,,,,,Moderate but noticeable,Yes,OpenAI ChatGPT
25,12/18/2024 11:03,Munich,,Full/Part-time employee,Data Scientist,,0,0,Junior,,Python,,SQL,0.10,101-1000,58000,60000,,28,,,,,40,,No,,,Yes,Financial Services,No,,,,,Moderate but noticeable,Yes,OpenAI ChatGPT
44,12/18/2024 11:36,Berlin,,Full/Part-time employee,Backend Software Engineer,,23,9,Senior,,JavaScript / TypeScript,,,2.00,1000,101000,110000,100000,28,,,,,40,,I dont know,,,"Yes, but only for backfilling","Manufacturing, Transportation, or Supply Chain",No,,,,,Invisible,No,
40,12/18/2024 11:39,Berlin,,Full/Part-time employee,Software Engineer,,20,2,Mid-level,,C / C++,,,2.00,1000,102000,180000,165000,28,,,,,40,,"Yes, in 2023",,,Yes,"Information Services, IT, Software Development, or other Technology",No,,,,,Moderate but noticeable,Yes,"Other,OpenAI ChatGPT"
35,12/18/2024 11:52,Berlin,,Full/Part-time employee,Software Engineer,,13,8,Senior,,Rust,,"Python,Kubernetes,Cloud (AWS / Azure / GCP),Docker",7.00,1000,73500,90000,80000,30,,,,,40,,No,,,I dont know,"Information Services, IT, Software Development, or other Technology",No,,,,,Invisible,No,
51,12/18/2024 11:57,Munich,,Temporarily unemployed,Site Reliability Engineer,,24,5,Senior,,Kubernetes,,"SQL,Bash / Zsh / PowerShell,Terraform,Cloud (AWS / Azure / GCP)",,101-1000,,,,,,,,,,"Yes, I am satisfied with a severance package","Yes, both in 2023-2024",Yes,"Yes, passively",No,"Information Services, IT, Software Development, or other Technology",Yes,about the same,120000,"Involuntarily, I was forced to look for a new job",2.0,Moderate but noticeable,Yes,"OpenAI ChatGPT,Microsoft Copilot,Google Bard,Google Gemini"
40,12/18/2024 12:20,Other,Mannheim,Full/Part-time employee,DevOps Engineer,,5,4,Mid-level,,Kubernetes,,"JavaScript / TypeScript,NodeJS,Bash / Zsh / PowerShell,Cloud (AWS / Azure / GCP),Kubernetes,Terraform,Docker",4.00,101-1000,72600,72600,0,30,,,,,40,,"Yes, in 2023",,,"Yes, but only for backfilling",Other,No,,,,,Invisible,Yes,OpenAI ChatGPT
34,12/18/2024 12:21,Hamburg,,Full/Part-time employee,Engineering Manager,,10,8,Senior Staff / Director,,PHP,,"JavaScript / TypeScript,Go",8.00,1000,96000,150000,150000,30,,,,,40,,No,,,Yes,Retail and Consumer Services,No,,,,,Moderate but noticeable,Yes,"OpenAI ChatGPT,Microsoft Copilot,JetBrains AI"
41,12/18/2024 13:19,Berlin,,Full/Part-time employee,Site Reliability Engineer,,18,10,Senior,,Cloud (AWS / Azure / GCP),,"Terraform,Kubernetes,Cloud (AWS / Azure / GCP),Docker,Other",0.10,1000,110000,116000,87000,28,,,,,40,,I dont know,,,I dont know,Retail and Consumer Services,Yes,better than it was,,"Voluntary, it was my decision",,Moderate but noticeable,No,
35,12/18/2024 13:48,Stuttgart,,Full/Part-time employee,Product Designer / UX/UI Designer/Researcher,,4,3,Senior,,Other,Figma,,6.00,11-50,125000,125000,115000,unlimited,,,,,40,"Yes, I am satisfied with a severance package","Yes, in 2024",Yes,,Yes,"Information Services, IT, Software Development, or other Technology",Yes,better than it was,,"Involuntarily, I was forced to look for a new job",5.0,Great,Yes,"OpenAI ChatGPT,Anthropic Claude,Google Gemini"
42,12/18/2024 13:55,Munich,,Full/Part-time employee,Backend Software Engineer,,20,8,Senior,,C / C++,,"SQL,Docker,Bash / Zsh / PowerShell",7.00,101-1000,92000,95000,88000,29,,,,,40,,No,,,Yes,"Information Services, IT, Software Development, or other Technology",No,,,,,Invisible,No,
38,12/18/2024 13:56,Berlin,,Full/Part-time employee,Backend Software Engineer,,15,9,Staff / Lead / Manager,,Java / Scala / Kotlin,,"Terraform,Kubernetes,Docker",0.70,101-1000,100000,100000,95000,30,,,,,40,,I dont know,,,Yes,Healthcare,Yes,about the same,,"Involuntarily, I was forced to look for a new job",7.0,Moderate but noticeable,No,
48,12/18/2024 14:38,Berlin,,Full/Part-time employee,Backend Software Engineer,,10,3,Senior,,Go,,"PHP,Java / Scala / Kotlin",3.00,1000,84000,98000,88000,27,,,,,40,,No,,,Yes,"Manufacturing, Transportation, or Supply Chain",No,,,,,Moderate but noticeable,Yes,OpenAI ChatGPT
35,12/18/2024 18:36,Stuttgart,,Full/Part-time employee,Data Scientist,,7,5,Mid-level,,Python,,"Python,Cloud (AWS / Azure / GCP),Dashboards (Power BI / Tableau / Looker / etc.)",5.00,1000,82800,82800,,30,,,,,35,,No,,,I dont know,"Manufacturing, Transportation, or Supply Chain",No,,,,,Great,Yes,OpenAI ChatGPT
35,12/18/2024 18:57,Berlin,,Full/Part-time employee,Data / Business / Product Analyst,,9,1,Junior,,JavaScript / TypeScript,,,0.25,101-1000,30000,30000,,22,,,,,40,,I dont know,,,Yes,"Information Services, IT, Software Development, or other Technology",No,,,,,Moderate but noticeable,No,
38,12/18/2024 20:18,Karlsruhe,,Full/Part-time employee,Software Engineer,,16,11,Senior,,C# / .NET,,JavaScript / TypeScript,2.00,1000,86500,91000,91000,30,,,,,40,No,"Yes, both in 2023-2024",,,"Yes, but only for backfilling","Information Services, IT, Software Development, or other Technology",No,,,,,Moderate but noticeable,Yes,"Microsoft Copilot,OpenAI ChatGPT,Anthropic Claude"
45,12/18/2024 20:23,Karlsruhe,,Full/Part-time employee,Software Engineer,,20,10,Senior,,C# / .NET,,"Kubernetes,Docker,JavaScript / TypeScript",7.00,101-1000,92000,92000,85000,30,,,,,40,,No,,,Yes,Healthcare,No,,,,,Moderate but noticeable,Yes,"OpenAI ChatGPT,Microsoft Copilot,Anthropic Claude"
36,12/18/2024 21:05,Karlsruhe,,Full/Part-time employee,Software Engineer,,14,8,Senior,,C# / .NET,,"JavaScript / TypeScript,.NET",3.00,1000,86700,97000,,30,,,,,40,No,"Yes, in 2024",,,"Yes, but only for backfilling","Information Services, IT, Software Development, or other Technology",No,,,,,Moderate but noticeable,Yes,"OpenAI ChatGPT,Microsoft Copilot"
33,12/19/2024 00:38,Munich,,Full/Part-time employee,Software Engineer,,12,6,Senior,,C / C++,,Python,6.00,1000,94000,125000,119000,30,,,,,40,,No,,,Yes,"Manufacturing, Transportation, or Supply Chain",No,,,,,Invisible,No,
42,12/19/2024 06:46,Karlsruhe,,Full/Part-time employee,Software Engineer,,20,13,Senior,,C# / .NET,,"JavaScript / TypeScript,.NET,C# / .NET core,SQL,Bash / Zsh / PowerShell,Docker",6.00,101-1000,80000,85000,78000,31,,,,,40,,I dont know,,,Yes,Healthcare,No,,,,,Moderate but noticeable,Yes,"OpenAI ChatGPT,Microsoft Copilot"
28,12/19/2024 11:56,Berlin,,Full/Part-time employee,Data / Business / Product Analyst,,5,2,Senior,,Python,,"Python,Dashboards (Power BI / Tableau / Looker / etc.)",2.00,101-1000,73000,73000,65000,30,,,,,40,No,"Yes, in 2024",,,Yes,"Information Services, IT, Software Development, or other Technology",No,,,,,Moderate but noticeable,Yes,"OpenAI ChatGPT,Other"
39,12/19/2024 12:50,Berlin,,Full/Part-time employee,Frontend Software Engineer,,15,5,Senior,,JavaScript / TypeScript,,"NodeJS,Bash / Zsh / PowerShell,Docker",5.00,51-100,95000,97000,,28,,,,,40,No,"Yes, both in 2023-2024",,,No,"Information Services, IT, Software Development, or other Technology",No,,,,,Moderate but noticeable,Yes,"OpenAI ChatGPT,Microsoft Copilot"
39,12/19/2024 13:27,Berlin,,Full/Part-time employee,Product Manager,,20,9,Senior Staff / Director,,Non-tech instruments,,Other,3.00,101-1000,133800,133800,12250,30,,,,,40,,No,,,Yes,Financial Services,No,,,,,Invisible,Yes,OpenAI ChatGPT
34,12/19/2024 13:57,Berlin,,Full/Part-time employee,Software Engineer,,12,7,Senior,,C / C++,,"Python,Java / Scala / Kotlin,JavaScript / TypeScript,C / C++,PHP,Swift",3.00,1000,135000,285000,250000,28,,,,,40,No,"Yes, both in 2023-2024",,,Yes,"Information Services, IT, Software Development, or other Technology",No,,,,,Great,Yes,Other
52,12/19/2024 17:34,Essen,,Full/Part-time employee,Software Engineer,,30,20,Senior,,C / C++,,"C# / .NET core,.NET,SQL,Docker,C / C++",22.00,101-1000,72000,75000,,30,,,,,40,No,"Yes, in 2024",,,"Yes, but only for backfilling","Information Services, IT, Software Development, or other Technology",No,,,,,Invisible,Yes,OpenAI ChatGPT
36,12/20/2024 10:07,Dusseldorf,,Full/Part-time employee,Quality Assurance (QA) Software Engineer,,5,1,Mid-level,,Other,,,2.00,101-1000,52000,52000,50000,28,,,,,40,,"Yes, in 2023",,,No,Retail and Consumer Services,No,,,,,Moderate but noticeable,No,
39,12/20/2024 14:17,Karlsruhe,,Full/Part-time employee,Engineering Manager,,17,10,Staff / Lead / Manager,,C# / .NET,,"JavaScript / TypeScript,SQL,Python,Cloud (AWS / Azure / GCP),Kubernetes,Docker",3.00,51-100,90960,91960,85800,27,,,,,38,,No,,,No,"Manufacturing, Transportation, or Supply Chain",No,,,,,Moderate but noticeable,Yes,Microsoft Copilot
44,12/20/2024 18:09,Munich,,Full/Part-time employee,Software Engineer,,20,11,Principal / VP / Head,,C / C++,,Python,1.00,1000,105000,125000,,30,,,,,40,,No,,,Yes,"Manufacturing, Transportation, or Supply Chain",Yes,worse than it was,,"Voluntary, it was my decision",0.0,Moderate but noticeable,Yes,Other
40,12/20/2024 23:47,Berlin,,Full/Part-time employee,Other,,14,7,Senior,,,,,0.30,1000,75000,83000,83000,30,,,,,40,No,"Yes, in 2024",,,Yes,Healthcare,Yes,about the same,,"Involuntarily, I was forced to look for a new job",4.0,Invisible,Yes,"Microsoft Copilot,OpenAI ChatGPT"
37,12/21/2024 07:51,Munich,,Full/Part-time employee,Quality Assurance (QA) Software Engineer,,15,6,Senior,,Java / Scala / Kotlin,,"SQL,Cloud (AWS / Azure / GCP),Kubernetes,Docker",3.00,1000,62000,69820,71000,30,,,,,40,,No,,,"Yes, but only for backfilling","Information Services, IT, Software Development, or other Technology",No,,,,,Invisible,Yes,OpenAI ChatGPT
28,12/21/2024 16:51,Bonn,,Full/Part-time employee,Data Scientist,,6,3,Mid-level,,Python,,"Dashboards (Power BI / Tableau / Looker / etc.),Docker,SQL",3.00,1000,62000,75000,75000,26,,,,,40,,No,,,No,"Information Services, IT, Software Development, or other Technology",No,,,,,Moderate but noticeable,Yes,"OpenAI ChatGPT,Microsoft Copilot"
32,12/22/2024 11:38,Munich,,Full/Part-time employee,DevOps Engineer,,10,6,Mid-level,,Java / Scala / Kotlin,,Java / Scala / Kotlin,,11-50,70000,75000,,,,,,,40,,"Yes, both in 2023-2024",,,Yes,"Information Services, IT, Software Development, or other Technology",No,,,,,,,
43,12/22/2024 16:05,Berlin,,Full/Part-time employee,Engineering Manager,,20,8,Senior,,Non-tech instruments,,"Java / Scala / Kotlin,SQL",3.00,101-1000,105000,105000,105000,28,,,,,40,No,"Yes, in 2024",,,Yes,"Information Services, IT, Software Development, or other Technology",No,,,,,Invisible,Yes,OpenAI ChatGPT
