Age,time,City,Your city,Employment status,Position,Your position,Total years of experience,Years of experience in Germany,Seniority level,Your seniority level,Main technology / programming language,Your main technology,Other technologies/programming languages you use often,Years in the current workplace,Company size,Annual gross salary without bonus and stocks in EUR,Annual Brutto salary with bonus and stocks in EUR,Annual TC one year ago.,Number of vacation days,Hourly rate in EUR,Working hours for the last year,Number of days off in the last year,"Third-party income from small customers or own projects (annualy, in EUR)",Working hours per week,layoffs_impact_you,company_layoffs,Did you already find a new job?,Do you currently search for a job?,company_hire_in_2024,company_industry,change_jobs,tc_new_job,unemployed_last_tc_salary,change_jobs_voluntary,how_long_find_job,ai_impact,ai_use,ai_tool
46,12/10/2024 11:26,Munich,,Full/Part-time employee,Backend Software Engineer,,24,7,Senior,,Java / Scala / Kotlin,,"JavaScript / TypeScript,SQL,Docker",1.00,1000,120000,200000,180000,30,,,,,40,,"Yes, in 2023",,,Yes,"Information Services, IT, Software Development, or other Technology",No,,,,,Great,Yes,OpenAI ChatGPT
37,12/10/2024 11:40,Berlin,,Full/Part-time employee,Product Manager,,15,2,Senior,,Non-tech instruments,,,2.00,1000,106000,114000,110000,30,,,,,40,No,"Yes, both in 2023-2024",,,"Yes, but only for backfilling",Financial Services,No,,,,,Moderate but noticeable,Yes,"OpenAI ChatGPT,Other"
40,12/10/2024 11:53,Munich,,Full/Part-time employee,Software Engineer,,20,7,Staff / Lead / Manager,,Java / Scala / Kotlin,,"JavaScript / TypeScript,Terraform,Cloud (AWS / Azure / GCP),SAP / ABAP,Docker,Dashboards (Power BI / Tableau / Looker / etc.),SQL",3.00,1000,88000,96000,,30,,,,,40,,I dont know,,,Yes,"Information Services, IT, Software Development, or other Technology",No,,,,,Moderate but noticeable,Yes,OpenAI ChatGPT
33,12/10/2024 11:55,Hamburg,,Full/Part-time employee,Quality Assurance (QA) Software Engineer,,10,3,Senior,,JavaScript / TypeScript,,Docker,1.50,1000,83000,83000,75000,28,,,,,40,,No,,,Yes,"Information Services, IT, Software Development, or other Technology",No,,,,,Invisible,No,
32,12/10/2024 11:59,Munich,,Full/Part-time employee,Backend Software Engineer,,10,6,Senior,,Java / Scala / Kotlin,,"Go,SQL,Cloud (AWS / Azure / GCP)",1.00,101-1000,115000,115000,,unlimited,,,,,40,,I dont know,,,Yes,Financial Services,No,,,,,Moderate but noticeable,Yes,"OpenAI ChatGPT,Microsoft Copilot"
26,12/10/2024 12:06,Berlin,,Full/Part-time employee,Frontend Software Engineer,,7,2,Senior,,JavaScript / TypeScript,,"Docker,Kubernetes,Terraform",2.00,1000,110000,157000,127000,32,,,,,40,,No,,,Yes,"Information Services, IT, Software Development, or other Technology",No,,,,,Great,Yes,OpenAI ChatGPT
39,12/10/2024 12:06,Berlin,,Full/Part-time employee,Quality Assurance (QA) Software Engineer,,17,1,Mid-level,,Other,,,2.00,101-1000,80000,80000,,30,,,,,40,,I dont know,,,Yes,"Information Services, IT, Software Development, or other Technology",No,,,,,Invisible,No,
22,12/10/2024 12:18,Berlin,,Full/Part-time employee,Software Engineer,,5,3,Senior,,Other,Flutter,,0.85,101-1000,72000,9600,9600,30,,,,,40,,No,,,Yes,"Information Services, IT, Software Development, or other Technology",Yes,better than it was,,"Involuntarily, I was forced to look for a new job",5.0,Invisible,No,
38,12/10/2024 12:31,Bochum,,Full/Part-time employee,Product Manager,,17,1,Senior,,JavaScript / TypeScript,,"Python,C / C++,PHP,SQL,Kubernetes,Dashboards (Power BI / Tableau / Looker / etc.),Docker",1.00,11-50,73200,73200,58440,30,,,,,40,,No,,,Yes,Other,No,,,,,Moderate but noticeable,Yes,"OpenAI ChatGPT,Microsoft Copilot,Anthropic Claude"
32,12/10/2024 12:58,Munich,,Full/Part-time employee,Software Engineer,,8,2,Senior,,C / C++,,"Python,C / C++,Other,Bash / Zsh / PowerShell",0.25,1000,95000,101000,110000,30,,,,,40,"Yes, I am satisfied with a severance package","Yes, in 2024",Yes,,Yes,"Information Services, IT, Software Development, or other Technology",Yes,about the same,,"Involuntarily, I was forced to look for a new job",3.0,Moderate but noticeable,Yes,"OpenAI ChatGPT,Other"
29,12/10/2024 13:01,Berlin,,Full/Part-time employee,Research Scientist,,4,4,Junior,,Python,,"Python,SQL,Bash / Zsh / PowerShell",0.25,1000,66000,66000,,25,,,,,40,No,"Yes, in 2024",,,Yes,Retail and Consumer Services,Yes,better than it was,,"Voluntary, it was my decision",8.0,Moderate but noticeable,Yes,OpenAI ChatGPT
35,12/10/2024 13:10,Munich,,Full/Part-time employee,Software Engineer,,17,2,Senior,,C / C++,,Python,4.00,1000,100000,20000,,30,,,,,40,No,"Yes, both in 2023-2024",,,"Yes, but only for backfilling","Information Services, IT, Software Development, or other Technology",No,,,,,Moderate but noticeable,Yes,"OpenAI ChatGPT,Microsoft Copilot"
35,12/10/2024 13:16,Munich,,Full/Part-time employee,Technical Program / Project Manager,,4,6,Mid-level,,Non-tech instruments,,,1.00,11-50,65000,65000,48,28,,,,,40,No,"Yes, in 2024",,,Yes,"Information Services, IT, Software Development, or other Technology",No,,,,,Invisible,Yes,OpenAI ChatGPT
34,12/10/2024 13:17,Munich,,Full/Part-time employee,Software Engineer,,10,3,Senior,,C / C++,,"Python,Bash / Zsh / PowerShell",7.00,1000,84000,84000,80000,30,,,,,40,,No,,,"Yes, but only for backfilling","Information Services, IT, Software Development, or other Technology",No,,,,,Invisible,Yes,OpenAI ChatGPT
35,12/10/2024 13:17,Munich,,Full/Part-time employee,Quality Assurance (QA) Software Engineer,,13,3,Staff / Lead / Manager,,Python,,"Java / Scala / Kotlin,SQL,Dashboards (Power BI / Tableau / Looker / etc.)",3.00,1000,122000,220000,200000,30,,,,,40,,"Yes, in 2023",,,Yes,"Information Services, IT, Software Development, or other Technology",No,,,,,Great,Yes,"Google Gemini,Other"
36,12/10/2024 13:17,Munich,,Full/Part-time employee,Software Engineer,,14,4,Senior,,Python,,"Go,Kubernetes,Docker",0.75,1000,100000,135000,100000,30,,,,,40,,No,,,Yes,"Information Services, IT, Software Development, or other Technology",Yes,better than it was,,"Involuntarily, I was forced to look for a new job",6.0,Great,No,
36,12/10/2024 13:19,Munich,,Full/Part-time employee,Software Engineer,,7,7,Senior,,C / C++,,"Python,Rust,Cloud (AWS / Azure / GCP),Bash / Zsh / PowerShell,SQL",3.00,1000,132000,132000,125000,30,,,,,40,,No,,,"Yes, but only for backfilling","Manufacturing, Transportation, or Supply Chain",No,,,,,Invisible,Yes,"JetBrains AI,OpenAI ChatGPT"
30,12/10/2024 13:20,Munich,,Full/Part-time employee,Software Engineer,,9,7,Staff / Lead / Manager,,C / C++,,Python,2.00,101-1000,130000,160000,157000,30,,,,,40,No,"Yes, both in 2023-2024",,,Yes,"Information Services, IT, Software Development, or other Technology",No,,,,,Invisible,No,
30,12/10/2024 13:21,Munich,,Full/Part-time employee,Engineering Manager,,8,3,Principal / VP / Head,,C# / .NET,,"Python,JavaScript / TypeScript,C# / .NET core,.NET,SQL,NodeJS,Bash / Zsh / PowerShell,SAP / ABAP,Cloud (AWS / Azure / GCP),Dashboards (Power BI / Tableau / Looker / etc.),Docker",25.00,51-100,58000,65000,58000,24,,,,,40,,I dont know,,,Yes,"Information Services, IT, Software Development, or other Technology",No,,,,,Great,Yes,"OpenAI ChatGPT,Microsoft Copilot"
39,12/10/2024 13:22,Frankfurt,,Self-employed (freelancer),Backend Software Engineer,,15,5,Other,,Java / Scala / Kotlin,,"JavaScript / TypeScript,Docker,Other",0.00,1000,,,,,85.0,280.0,90.0,0,35,,"Yes, in 2024",,,No,"Information Services, IT, Software Development, or other Technology",No,,,,,,No,
34,12/10/2024 13:23,Munich,,Full/Part-time employee,Backend Software Engineer,,10,4,Senior,,Java / Scala / Kotlin,,,3.00,101-1000,80000,85000,80000,31,,,,,40,"Yes, I am satisfied with a severance package","Yes, in 2024",Yes,,"Yes, but only for backfilling",Financial Services,Yes,worse than it was,,"Involuntarily, I was forced to look for a new job",6.0,Invisible,No,
37,12/10/2024 13:24,Munich,,Full/Part-time employee,Other,Hardware test engineer,14,2,Mid-level,,Other,Jira,Python,2.00,101-1000,62100,68000,66000,28,,,,,40,No,"Yes, in 2024",,,Yes,"Information Services, IT, Software Development, or other Technology",No,,,,,Invisible,No,
30,12/10/2024 13:24,Other,Erlangen,Full/Part-time employee,Software Engineer,,3,1,Mid-level,,Java / Scala / Kotlin,,Java / Scala / Kotlin,1.00,1000,55000,59000,,30,,,,,40,,No,,,Yes,"Information Services, IT, Software Development, or other Technology",No,,,,,Moderate but noticeable,Yes,"OpenAI ChatGPT,Other,Google Gemini"
30,12/10/2024 13:30,Munich,,Full/Part-time employee,Data Scientist,,6,6,Senior,,Python,,"JavaScript / TypeScript,SQL,NodeJS,Cloud (AWS / Azure / GCP),Terraform,Docker",5.00,101-1000,91000,91000,85000,30,,,,,40,,No,,,"Yes, but only for backfilling","Information Services, IT, Software Development, or other Technology",No,,,,,Moderate but noticeable,Yes,"OpenAI ChatGPT,Anthropic Claude,Google Gemini"
23,12/10/2024 13:55,Munich,,Full/Part-time employee,Backend Software Engineer,,5,2,Mid-level,,Java / Scala / Kotlin,,SQL,2.00,1000,74000,80000,,28,,,,,40,,No,,,Yes,"Information Services, IT, Software Development, or other Technology",No,,,,,Moderate but noticeable,Yes,"OpenAI ChatGPT,Microsoft Copilot"
38,12/10/2024 13:56,Munich,,Full/Part-time employee,Backend Software Engineer,,18,9,Senior,,Python,,"Docker,JavaScript / TypeScript",2.75,up to 10,65000,65000,,26,,,,,40,,No,,,"Yes, but only for backfilling","Information Services, IT, Software Development, or other Technology",No,,,,,Moderate but noticeable,Yes,"OpenAI ChatGPT,JetBrains AI"
32,12/10/2024 13:58,Berlin,,Full/Part-time employee,Software Engineer,,11,6,Senior,,C# / .NET,,"JavaScript / TypeScript,SQL,Kubernetes,Docker,Bash / Zsh / PowerShell",5.00,1000,80000,80000,80000,30,,,,,40,,"Yes, in 2023",,,"Yes, but only for backfilling",Retail and Consumer Services,No,,,,,Invisible,Yes,Microsoft Copilot
40,12/10/2024 14:01,Munich,,Full/Part-time employee,Software Engineer,,20,10,Senior,,JavaScript / TypeScript,,"JavaScript / TypeScript,NodeJS,Bash / Zsh / PowerShell,Docker,Other",2.00,1000,78000,78000,,30,,,,,40,,I dont know,,,Yes,"Information Services, IT, Software Development, or other Technology",No,,,,,Great,Yes,"OpenAI ChatGPT,JetBrains AI,Midjourney,Other"
27,12/10/2024 14:04,Munich,,Full/Part-time employee,Data Engineer / Analytics Engineer,,3,3,Mid-level,,Java / Scala / Kotlin,,Cloud (AWS / Azure / GCP),2.00,11-50,72000,76000,68000,32,,,,,40,,No,,,Yes,Insurance,No,,,,,Invisible,Yes,"OpenAI ChatGPT,Google Gemini"
37,12/10/2024 14:24,Berlin,,Full/Part-time employee,Backend Software Engineer,,8,3,Senior,,Go,,"JavaScript / TypeScript,SQL,Terraform,Kubernetes,Docker",,1000,100000,110000,,25,,,,,40,,No,,,Yes,Oil & Gas,No,,,,,Moderate but noticeable,Yes,"OpenAI ChatGPT,Microsoft Copilot,JetBrains AI"
45,12/10/2024 14:25,Munich,,Full/Part-time employee,Other,Infrastructure Manager,20,25,Staff / Lead / Manager,,Other,Corporate infrastructure,"Cloud (AWS / Azure / GCP),Other",,1000,85000,85000,,30,,,,,40,,I dont know,,,Yes,"Information Services, IT, Software Development, or other Technology",Yes,about the same,,"Involuntarily, I was forced to look for a new job",5.0,Moderate but noticeable,Yes,"OpenAI ChatGPT,Microsoft Copilot"
30,12/10/2024 14:27,Munich,,Full/Part-time employee,Backend Software Engineer,,7,2,Senior,,Java / Scala / Kotlin,,"Java / Scala / Kotlin,Python,Docker,JavaScript / TypeScript,SQL,Kubernetes,Cloud (AWS / Azure / GCP)",5.00,1000,115000,200000,190000,20,,,,,40,No,"Yes, both in 2023-2024",,,Yes,Healthcare,No,,,,,Moderate but noticeable,Yes,"OpenAI ChatGPT,Microsoft Copilot,JetBrains AI"
32,12/10/2024 14:32,Munich,,Full/Part-time employee,Data Scientist,,9,6,Senior,,Python,,"Cloud (AWS / Azure / GCP),Docker,R",6.00,101-1000,93000,93000,85500,30,,,,,40,,No,,,Yes,"Information Services, IT, Software Development, or other Technology",No,,,,,Moderate but noticeable,Yes,"OpenAI ChatGPT,Anthropic Claude"
25,12/10/2024 14:38,Frankfurt,,Full/Part-time employee,Frontend Software Engineer,,4,4,Mid-level,,JavaScript / TypeScript,,"JavaScript / TypeScript,Docker,Java / Scala / Kotlin",4.00,51-100,36000,39000,,30,,,,,40,,I dont know,,,No,"Information Services, IT, Software Development, or other Technology",No,,,,,Moderate but noticeable,Yes,OpenAI ChatGPT
39,12/10/2024 14:41,Berlin,,Full/Part-time employee,DevOps Engineer,,13,0,Staff / Lead / Manager,,Bash / Zsh / PowerShell,,"Python,Java / Scala / Kotlin,SQL,Bash / Zsh / PowerShell,Terraform,Cloud (AWS / Azure / GCP),Kubernetes,Docker",,11-50,96000,96000,,,,,,,50,,No,,,Yes,Other,No,,,,,Great,Yes,OpenAI ChatGPT
